vehicle_id;incident_id;Unit Description
747419;605666;MOTOR VEHICLE
747420;605666;MOTOR VEHICLE
747422;605666;MOTOR VEHICLE
747423;605670;MOTOR VEHICLE
747425;605670;MOTOR VEHICLE
747427;605674;MOTOR VEHICLE
747428;605674;MOTOR VEHICLE
747429;605676;MOTOR VEHICLE
747431;605676;MOTOR VEHICLE
747432;605679;MOTOR VEHICLE
747433;605679;MOTOR VEHICLE
747435;605682;MOTOR VEHICLE
747436;605682;MOTOR VEHICLE
747437;605684;MOTOR VEHICLE
747438;605684;MOTOR VEHICLE
747439;605686;MOTOR VEHICLE
747442;605689;MOTOR VEHICLE
747443;605689;MOTOR VEHICLE
747446;605693;MOTOR VEHICLE
747447;605694;MOTOR VEHICLE
747449;605694;MOTOR VEHICLE
747453;605700;MOTOR VEHICLE
747454;605700;MOTOR VEHICLE
747455;605702;MOTOR VEHICLE
747457;605702;MOTOR VEHICLE
747458;605705;MOTOR VEHICLE
747460;605707;MOTOR VEHICLE
747461;605707;MOTOR VEHICLE
747462;605709;MOTOR VEHICLE
747464;605709;MOTOR VEHICLE
747465;605712;MOTOR VEHICLE
747466;605712;MOTOR VEHICLE
747467;605714;MOTOR VEHICLE
747468;605715;MOTOR VEHICLE
747469;605715;MOTOR VEHICLE
747471;605718;MOTOR VEHICLE
747472;605718;MOTOR VEHICLE
747473;605720;MOTOR VEHICLE
747474;605720;MOTOR VEHICLE
747478;605725;MOTOR VEHICLE
747480;605725;MOTOR VEHICLE
747484;605731;MOTOR VEHICLE
747486;605731;MOTOR VEHICLE
747487;605734;MOTOR VEHICLE
747488;605734;MOTOR VEHICLE
747490;605737;MOTOR VEHICLE
747491;605737;MOTOR VEHICLE
747492;605739;MOTOR VEHICLE
747493;605739;MOTOR VEHICLE
747494;605741;MOTOR VEHICLE
747495;605742;MOTOR VEHICLE
747496;605743;MOTOR VEHICLE
747497;605743;MOTOR VEHICLE
747498;605743;MOTOR VEHICLE
747499;605746;MOTOR VEHICLE
747500;605747;MOTOR VEHICLE
747502;605749;MOTOR VEHICLE
747503;605749;MOTOR VEHICLE
747504;605749;MOTOR VEHICLE
747505;605752;MOTOR VEHICLE
747506;605752;MOTOR VEHICLE
747507;605754;MOTOR VEHICLE
747508;605754;MOTOR VEHICLE
747509;605756;MOTOR VEHICLE
747511;605756;MOTOR VEHICLE
747512;605759;MOTOR VEHICLE
747513;605759;MOTOR VEHICLE
747514;605761;MOTOR VEHICLE
747515;605761;MOTOR VEHICLE
747516;605763;MOTOR VEHICLE
747517;605763;MOTOR VEHICLE
747518;605765;MOTOR VEHICLE
747519;605765;MOTOR VEHICLE
747520;605767;MOTOR VEHICLE
747521;605767;MOTOR VEHICLE
747523;605770;MOTOR VEHICLE
747524;605770;MOTOR VEHICLE
747525;605772;MOTOR VEHICLE
747526;605772;MOTOR VEHICLE
747527;605772;MOTOR VEHICLE
747528;605775;MOTOR VEHICLE
747529;605775;MOTOR VEHICLE
747530;605775;MOTOR VEHICLE
747532;605779;MOTOR VEHICLE
747533;605780;MOTOR VEHICLE
747534;605781;MOTOR VEHICLE
747535;605781;MOTOR VEHICLE
747536;605783;MOTOR VEHICLE
747537;605784;MOTOR VEHICLE
747538;605784;MOTOR VEHICLE
747539;605786;MOTOR VEHICLE
747540;605786;MOTOR VEHICLE
747541;605786;MOTOR VEHICLE
747542;605789;MOTOR VEHICLE
747544;605789;MOTOR VEHICLE
747545;605792;MOTOR VEHICLE
747546;605792;MOTOR VEHICLE
747547;605792;MOTOR VEHICLE
747548;605792;MOTOR VEHICLE
747549;605796;MOTOR VEHICLE
747551;605796;MOTOR VEHICLE
747552;605799;MOTOR VEHICLE
747553;605799;MOTOR VEHICLE
747554;605801;MOTOR VEHICLE
747555;605801;MOTOR VEHICLE
747556;605803;MOTOR VEHICLE
747557;605804;MOTOR VEHICLE
747559;605804;MOTOR VEHICLE
747560;605807;MOTOR VEHICLE
747562;605807;MOTOR VEHICLE
747596;605843;MOTOR VEHICLE
747597;605843;MOTOR VEHICLE
747598;605845;MOTOR VEHICLE
747600;605845;MOTOR VEHICLE
747601;605848;MOTOR VEHICLE
747602;605848;MOTOR VEHICLE
747603;605850;MOTOR VEHICLE
747604;605851;MOTOR VEHICLE
747605;605851;MOTOR VEHICLE
747609;605856;MOTOR VEHICLE
747610;605856;MOTOR VEHICLE
747611;605858;MOTOR VEHICLE
747615;605858;MOTOR VEHICLE
747618;605865;MOTOR VEHICLE
747619;605865;MOTOR VEHICLE
747621;605868;MOTOR VEHICLE
747622;605868;MOTOR VEHICLE
747623;605870;MOTOR VEHICLE
747624;605871;MOTOR VEHICLE
747625;605871;MOTOR VEHICLE
747626;605873;MOTOR VEHICLE
747627;605873;MOTOR VEHICLE
747628;605875;MOTOR VEHICLE
747630;605875;MOTOR VEHICLE
747631;605878;MOTOR VEHICLE
747632;605878;MOTOR VEHICLE
747633;605880;MOTOR VEHICLE
747634;605881;MOTOR VEHICLE
747635;605882;MOTOR VEHICLE
747636;605882;MOTOR VEHICLE
747640;605887;MOTOR VEHICLE
747641;605887;MOTOR VEHICLE
747642;605889;MOTOR VEHICLE
747643;605889;MOTOR VEHICLE
747644;605891;MOTOR VEHICLE
747646;605891;MOTOR VEHICLE
747647;605894;MOTOR VEHICLE
747648;605894;MOTOR VEHICLE
747649;605896;MOTOR VEHICLE
747650;605896;MOTOR VEHICLE
747653;605900;MOTOR VEHICLE
747654;605900;MOTOR VEHICLE
747656;605900;MOTOR VEHICLE
747657;605904;MOTOR VEHICLE
747658;605904;MOTOR VEHICLE
747659;605906;MOTOR VEHICLE
747660;605906;MOTOR VEHICLE
747661;605908;MOTOR VEHICLE
747662;605908;MOTOR VEHICLE
747663;605910;MOTOR VEHICLE
747665;605910;MOTOR VEHICLE
747667;605914;MOTOR VEHICLE
747668;605914;MOTOR VEHICLE
747669;605914;MOTOR VEHICLE
747670;605917;MOTOR VEHICLE
747671;605917;MOTOR VEHICLE
747672;605917;MOTOR VEHICLE
747674;605921;MOTOR VEHICLE
747675;605921;MOTOR VEHICLE
747676;605923;MOTOR VEHICLE
747677;605923;MOTOR VEHICLE
747678;605923;MOTOR VEHICLE
747679;605926;MOTOR VEHICLE
747680;605926;MOTOR VEHICLE
747681;605928;MOTOR VEHICLE
747682;605928;MOTOR VEHICLE
747683;605928;MOTOR VEHICLE
747684;605931;MOTOR VEHICLE
747687;605934;MOTOR VEHICLE
747688;605934;MOTOR VEHICLE
747690;605937;MOTOR VEHICLE
747691;605937;MOTOR VEHICLE
747692;605939;MOTOR VEHICLE
747694;605941;MOTOR VEHICLE
747695;605942;MOTOR VEHICLE
747696;605943;MOTOR VEHICLE
747698;605943;MOTOR VEHICLE
747699;605946;MOTOR VEHICLE
747700;605946;MOTOR VEHICLE
747702;605946;MOTOR VEHICLE
747704;605951;MOTOR VEHICLE
747705;605951;MOTOR VEHICLE
747706;605953;MOTOR VEHICLE
747707;605953;MOTOR VEHICLE
747709;605955;MOTOR VEHICLE
747710;605957;MOTOR VEHICLE
747711;605957;MOTOR VEHICLE
747712;605957;MOTOR VEHICLE
747713;605960;MOTOR VEHICLE
747716;605960;MOTOR VEHICLE
747717;605964;MOTOR VEHICLE
747718;605964;MOTOR VEHICLE
747720;605967;MOTOR VEHICLE
747722;605967;MOTOR VEHICLE
747725;605967;MOTOR VEHICLE
747726;605973;MOTOR VEHICLE
747727;605973;MOTOR VEHICLE
747731;605978;MOTOR VEHICLE
747732;605978;MOTOR VEHICLE
747734;605981;MOTOR VEHICLE
747735;605981;MOTOR VEHICLE
747736;605983;MOTOR VEHICLE
747737;605983;MOTOR VEHICLE
747740;605987;MOTOR VEHICLE
747741;605987;MOTOR VEHICLE
747742;605989;MOTOR VEHICLE
747743;605989;MOTOR VEHICLE
747744;605991;MOTOR VEHICLE
747745;605991;MOTOR VEHICLE
747746;605993;MOTOR VEHICLE
747748;605993;MOTOR VEHICLE
747749;605996;MOTOR VEHICLE
747751;605996;MOTOR VEHICLE
747752;605999;MOTOR VEHICLE
747753;605999;MOTOR VEHICLE
747754;605999;MOTOR VEHICLE
747755;606002;MOTOR VEHICLE
747756;606002;MOTOR VEHICLE
747757;606002;MOTOR VEHICLE
747758;606005;MOTOR VEHICLE
747759;606005;MOTOR VEHICLE
747760;606007;MOTOR VEHICLE
747761;606007;MOTOR VEHICLE
747762;606009;MOTOR VEHICLE
747763;606009;MOTOR VEHICLE
747764;606011;MOTOR VEHICLE
747765;606011;MOTOR VEHICLE
747766;606013;MOTOR VEHICLE
747767;606013;MOTOR VEHICLE
747768;606015;MOTOR VEHICLE
747769;606015;MOTOR VEHICLE
